Date,Temp,RH
2020/03/16 0:00,18.3,,
2020/03/16 0:01,18.3,,
2020/03/16 0:02,18.3,,
2020/03/16 0:03,18.3,,
2020/03/16 0:04,18.3,,
2020/03/16 0:05,18.3,,
2020/03/16 0:06,18.3,,
2020/03/16 0:07,18.3,,
2020/03/16 0:08,18.3,,
2020/03/16 0:09,18.3,,
2020/03/16 0:10,18.3,,
2020/03/16 0:11,18.3,,
2020/03/16 0:12,18.3,,
2020/03/16 0:13,18.3,,
2020/03/16 0:14,18.3,,
2020/03/16 0:15,18.3,,
2020/03/16 0:16,18.3,,
2020/03/16 0:17,18.3,,
2020/03/16 0:18,18.3,,
2020/03/16 0:19,18.2,,
2020/03/16 0:20,18.2,,
2020/03/16 0:21,18.2,,
2020/03/16 0:22,18.2,,
2020/03/16 0:23,18.2,,
2020/03/16 0:24,18.2,,
2020/03/16 0:25,18.2,,
2020/03/16 0:26,18.2,,
2020/03/16 0:27,18.2,,
2020/03/16 0:28,18.2,,
2020/03/16 0:29,18.2,,
2020/03/16 0:30,18.2,,
2020/03/16 0:31,18.2,,
2020/03/16 0:32,18.2,,
2020/03/16 0:33,18.2,,
2020/03/16 0:34,18.2,,
2020/03/16 0:35,18.3,,
2020/03/16 0:36,18.3,,
2020/03/16 0:37,18.3,,
2020/03/16 0:38,18.3,,
2020/03/16 0:39,18.3,,
2020/03/16 0:40,18.3,,
2020/03/16 0:41,18.3,,
2020/03/16 0:42,18.3,,
2020/03/16 0:43,18.3,,
2020/03/16 0:44,18.3,,
2020/03/16 0:45,18.3,,
2020/03/16 0:46,18.3,,
2020/03/16 0:47,18.3,,
2020/03/16 0:48,18.3,,
2020/03/16 0:49,18.3,,
2020/03/16 0:50,18.3,,
2020/03/16 0:51,18.3,,
2020/03/16 0:52,18.3,,
2020/03/16 0:53,18.3,,
2020/03/16 0:54,18.3,,
2020/03/16 0:55,18.3,,
2020/03/16 0:56,18.3,,
2020/03/16 0:57,18.3,,
2020/03/16 0:58,18.3,,
2020/03/16 0:59,18.3,,
2020/03/16 1:00,18.3,,
2020/03/16 1:01,18.3,,
2020/03/16 1:02,18.3,,
2020/03/16 1:03,18.3,,
2020/03/16 1:04,18.3,,
2020/03/16 1:05,18.3,,
2020/03/16 1:06,18.3,,
2020/03/16 1:07,18.3,,
2020/03/16 1:08,18.3,,
2020/03/16 1:09,18.3,,
2020/03/16 1:10,18.3,,
2020/03/16 1:11,18.2,,
2020/03/16 1:12,18.2,,
2020/03/16 1:13,18.2,,
2020/03/16 1:14,18.2,,
2020/03/16 1:15,18.2,,
2020/03/16 1:16,18.2,,
2020/03/16 1:17,18.2,,
2020/03/16 1:18,18.2,,
2020/03/16 1:19,18.2,,
2020/03/16 1:20,18.2,,
2020/03/16 1:21,18.2,,
2020/03/16 1:22,18.2,,
2020/03/16 1:23,18.2,,
2020/03/16 1:24,18.2,,
2020/03/16 1:25,18.2,,
2020/03/16 1:26,18.2,,
2020/03/16 1:27,18.2,,
2020/03/16 1:28,18.2,,
2020/03/16 1:29,18.2,,
2020/03/16 1:30,18.2,,
2020/03/16 1:31,18.2,,
2020/03/16 1:32,18.2,,
2020/03/16 1:33,18.2,,
2020/03/16 1:34,18.2,,
2020/03/16 1:35,18.2,,
2020/03/16 1:36,18.2,,
2020/03/16 1:37,18.2,,
2020/03/16 1:38,18.2,,
2020/03/16 1:39,18.2,,
2020/03/16 1:40,18.1,,
2020/03/16 1:41,18.1,,
2020/03/16 1:42,18.1,,
2020/03/16 1:43,18.1,,
2020/03/16 1:44,18.1,,
2020/03/16 1:45,18.1,,
2020/03/16 1:46,18.1,,
2020/03/16 1:47,18.1,,
2020/03/16 1:48,18.1,,
2020/03/16 1:49,18.1,,
2020/03/16 1:50,18.1,,
2020/03/16 1:51,18.1,,
2020/03/16 1:52,18.1,,
2020/03/16 1:53,18.1,,
2020/03/16 1:54,18.1,,
2020/03/16 1:55,18.1,,
2020/03/16 1:56,18.1,,
2020/03/16 1:57,18.1,,
2020/03/16 1:58,18.1,,
2020/03/16 1:59,18.1,,
2020/03/16 2:00,18.1,,
2020/03/16 2:01,18.1,,
2020/03/16 2:02,18.0,,
2020/03/16 2:03,18.0,,
2020/03/16 2:04,18.0,,
2020/03/16 2:05,18.0,,
2020/03/16 2:06,18.0,,
2020/03/16 2:07,18.0,,
2020/03/16 2:08,18.0,,
2020/03/16 2:09,18.0,,
2020/03/16 2:10,17.9,,
2020/03/16 2:11,17.9,,
2020/03/16 2:12,17.9,,
2020/03/16 2:13,17.9,,
2020/03/16 2:14,17.9,,
2020/03/16 2:15,17.9,,
2020/03/16 2:16,17.9,,
2020/03/16 2:17,17.9,,
2020/03/16 2:18,17.9,,
2020/03/16 2:19,17.9,,
2020/03/16 2:20,17.9,,
